cps19_votechoice,cps19_gender,cps19_age,cps19_province,cps19_education,education_level,gender,Age
Liberal Party,A woman,48,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,48,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
ndp,A woman,28,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
Liberal Party,A man,49,Quebec,Some university,University certificate or diploma below bachelor level,Male,45 to 54
ndp,A woman,60,Ontario,Some university,University certificate or diploma below bachelor level,Female,55 to 64
ndp,A woman,33,Saskatchewan,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,25 to 34
People's Party,A woman,36,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Conservative Party,A woman,50,Alberta,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,45 to 54
Conservative Party,A woman,30,Alberta,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
ndp,A woman,58,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
ndp,A woman,47,Alberta,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,45 to 54
Conservative Party,A man,32,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,25 to 34
Don't know/ Prefer not to answer,A woman,36,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Don't know/ Prefer not to answer,A woman,35,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Green Party,A woman,61,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Liberal Party,A woman,31,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Don't know/ Prefer not to answer,A man,59,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
ndp,A woman,29,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A woman,62,Alberta,Some secondary/ high school,Other,Female,55 to 64
People's Party,A woman,56,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Liberal Party,A woman,45,Ontario,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,45 to 54
ndp,A woman,42,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Don't know/ Prefer not to answer,A woman,61,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
ndp,A man,31,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,25 to 34
Don't know/ Prefer not to answer,A woman,61,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Liberal Party,A man,43,New Brunswick,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Green Party,A man,51,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Liberal Party,A man,60,Quebec,Some university,University certificate or diploma below bachelor level,Male,55 to 64
Green Party,A man,50,Ontario,Some university,University certificate or diploma below bachelor level,Male,45 to 54
ndp,A man,36,Ontario,Some university,University certificate or diploma below bachelor level,Male,35 to 44
People's Party,A man,31,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Conservative Party,A man,59,Ontario,Some secondary/ high school,Other,Male,55 to 64
ndp,A woman,42,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Don't know/ Prefer not to answer,A woman,58,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Liberal Party,A woman,32,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Liberal Party,A woman,44,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Conservative Party,A man,62,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A man,56,Quebec,Master's degree,"Highest certificate, diploma or degree",Male,55 to 64
Conservative Party,A woman,61,Quebec,Completed elementary school,NA,Female,55 to 64
Conservative Party,A man,56,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Conservative Party,A woman,27,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
ndp,A woman,34,Saskatchewan,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Liberal Party,A woman,59,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Don't know/ Prefer not to answer,A woman,51,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Conservative Party,A man,49,Quebec,Master's degree,"Highest certificate, diploma or degree",Male,45 to 54
Conservative Party,A woman,59,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Conservative Party,A woman,26,Alberta,Some secondary/ high school,Other,Female,25 to 34
Liberal Party,A woman,62,Manitoba,Master's degree,"Highest certificate, diploma or degree",Female,55 to 64
ndp,A woman,27,British Columbia,Some university,University certificate or diploma below bachelor level,Female,25 to 34
Liberal Party,A woman,25,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A man,49,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Bloc Québécois,A man,62,Quebec,Master's degree,"Highest certificate, diploma or degree",Male,55 to 64
Liberal Party,A woman,50,British Columbia,Master's degree,"Highest certificate, diploma or degree",Female,45 to 54
Bloc Québécois,A woman,51,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Liberal Party,A woman,25,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A man,64,Saskatchewan,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Liberal Party,A woman,42,Quebec,Some university,University certificate or diploma below bachelor level,Female,35 to 44
Conservative Party,A man,64,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Bloc Québécois,A man,64,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Conservative Party,A man,55,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A man,40,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Conservative Party,A man,37,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
ndp,A woman,49,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,45 to 54
Don't know/ Prefer not to answer,A woman,26,Saskatchewan,Some university,University certificate or diploma below bachelor level,Female,25 to 34
Liberal Party,A man,45,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,45 to 54
Bloc Québécois,A woman,62,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
ndp,A woman,33,Alberta,Master's degree,"Highest certificate, diploma or degree",Female,25 to 34
ndp,A woman,26,Manitoba,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
Don't know/ Prefer not to answer,A woman,45,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Don't know/ Prefer not to answer,A woman,30,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Don't know/ Prefer not to answer,A woman,59,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
ndp,A man,35,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,35 to 44
Conservative Party,A man,34,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,25 to 34
Green Party,A woman,47,British Columbia,Master's degree,"Highest certificate, diploma or degree",Female,45 to 54
Green Party,A woman,26,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A woman,37,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Bloc Québécois,A woman,60,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
ndp,A woman,27,Saskatchewan,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
Bloc Québécois,A man,63,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
ndp,A woman,33,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,25 to 34
ndp,A woman,29,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A man,55,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
ndp,A man,48,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,45 to 54
Liberal Party,A man,60,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Conservative Party,A man,61,Quebec,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,55 to 64
Conservative Party,A man,46,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Liberal Party,A woman,40,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,35 to 44
Conservative Party,A woman,64,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Don't know/ Prefer not to answer,A man,53,Alberta,Master's degree,"Highest certificate, diploma or degree",Male,45 to 54
Liberal Party,A woman,48,Manitoba,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Bloc Québécois,A man,28,Quebec,Some university,University certificate or diploma below bachelor level,Male,25 to 34
ndp,A woman,26,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Liberal Party,A man,52,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
ndp,A man,34,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Conservative Party,A man,61,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Don't know/ Prefer not to answer,A man,56,Quebec,Some university,University certificate or diploma below bachelor level,Male,55 to 64
ndp,A woman,52,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
ndp,A man,31,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
ndp,A man,26,New Brunswick,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Conservative Party,A man,35,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Conservative Party,A man,56,Saskatchewan,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Liberal Party,A man,51,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Conservative Party,A man,51,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Liberal Party,A man,41,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
Conservative Party,A man,59,Quebec,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,55 to 64
Liberal Party,A woman,33,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Liberal Party,A woman,34,Alberta,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
Conservative Party,A man,27,Saskatchewan,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Liberal Party,A woman,55,Quebec,Some university,University certificate or diploma below bachelor level,Female,55 to 64
Liberal Party,A woman,60,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Liberal Party,A man,56,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A woman,62,Alberta,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Liberal Party,A man,33,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,25 to 34
Conservative Party,A man,29,Alberta,Some university,University certificate or diploma below bachelor level,Male,25 to 34
Liberal Party,A man,31,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,25 to 34
Liberal Party,A man,64,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Don't know/ Prefer not to answer,A woman,43,Manitoba,Some university,University certificate or diploma below bachelor level,Female,35 to 44
Liberal Party,A woman,49,Newfoundland and Labrador,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,50,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,45 to 54
Liberal Party,A man,33,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,25 to 34
ndp,A woman,25,Alberta,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,25 to 34
ndp,A woman,37,British Columbia,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,35 to 44
ndp,A woman,63,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Conservative Party,A man,61,Alberta,Master's degree,"Highest certificate, diploma or degree",Male,55 to 64
Liberal Party,A woman,32,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A man,49,Alberta,Some university,University certificate or diploma below bachelor level,Male,45 to 54
Don't know/ Prefer not to answer,A woman,50,Ontario,Some university,University certificate or diploma below bachelor level,Female,45 to 54
Don't know/ Prefer not to answer,A woman,26,Saskatchewan,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A woman,36,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
People's Party,A man,62,British Columbia,Some university,University certificate or diploma below bachelor level,Male,55 to 64
Conservative Party,A man,55,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
ndp,A woman,33,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
ndp,A woman,62,Manitoba,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Green Party,A woman,51,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,45 to 54
ndp,A man,32,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,25 to 34
Conservative Party,A woman,33,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,25 to 34
ndp,A man,28,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,25 to 34
Another party (please specify),A woman,40,British Columbia,Master's degree,"Highest certificate, diploma or degree",Female,35 to 44
Bloc Québécois,A man,58,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
ndp,A woman,26,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Green Party,A man,34,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,25 to 34
Conservative Party,A woman,39,Alberta,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,35 to 44
Liberal Party,A man,49,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,45 to 54
ndp,A woman,25,New Brunswick,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,25 to 34
Liberal Party,A man,63,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
ndp,A woman,28,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
ndp,A woman,61,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,55 to 64
Conservative Party,A woman,33,Alberta,Some secondary/ high school,Other,Female,25 to 34
Conservative Party,A woman,45,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Conservative Party,A woman,39,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Green Party,A man,52,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,45 to 54
Don't know/ Prefer not to answer,A man,49,Ontario,Some secondary/ high school,Other,Male,45 to 54
Conservative Party,A woman,57,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Bloc Québécois,A woman,61,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Conservative Party,A woman,51,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Green Party,A woman,53,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,49,Quebec,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,45 to 54
ndp,A woman,33,Alberta,Master's degree,"Highest certificate, diploma or degree",Female,25 to 34
Conservative Party,A woman,63,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Green Party,A woman,64,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Bloc Québécois,A man,64,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Conservative Party,A woman,33,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Conservative Party,A woman,28,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Don't know/ Prefer not to answer,A woman,60,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
ndp,A man,54,Ontario,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,45 to 54
Liberal Party,A woman,28,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Green Party,A man,35,New Brunswick,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,35 to 44
Liberal Party,A woman,31,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A man,55,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Liberal Party,A woman,54,British Columbia,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,45 to 54
Liberal Party,A woman,50,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
ndp,A woman,38,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Conservative Party,A woman,56,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Green Party,A woman,32,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
ndp,A woman,26,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
Conservative Party,A man,33,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Don't know/ Prefer not to answer,A man,58,Quebec,Master's degree,"Highest certificate, diploma or degree",Male,55 to 64
Don't know/ Prefer not to answer,A woman,38,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Liberal Party,A man,37,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,35 to 44
Liberal Party,A man,63,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A woman,52,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Bloc Québécois,A man,57,Quebec,Some university,University certificate or diploma below bachelor level,Male,55 to 64
Don't know/ Prefer not to answer,A woman,44,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Liberal Party,A woman,61,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Liberal Party,A woman,29,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
Conservative Party,A man,35,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,35 to 44
Liberal Party,A man,60,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
ndp,A woman,25,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
Green Party,A woman,26,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Conservative Party,A man,49,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,45 to 54
Conservative Party,A woman,63,Manitoba,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Conservative Party,A woman,36,Manitoba,Completed elementary school,NA,Female,35 to 44
Liberal Party,A woman,63,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Conservative Party,A man,47,Ontario,Some university,University certificate or diploma below bachelor level,Male,45 to 54
Conservative Party,A woman,52,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Conservative Party,A man,50,British Columbia,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,45 to 54
Liberal Party,A woman,27,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Liberal Party,A woman,49,Quebec,Some secondary/ high school,Other,Female,45 to 54
Conservative Party,A woman,38,Alberta,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,35 to 44
Liberal Party,A man,60,Manitoba,Master's degree,"Highest certificate, diploma or degree",Male,55 to 64
Don't know/ Prefer not to answer,A woman,62,Newfoundland and Labrador,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Green Party,A man,38,Saskatchewan,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Conservative Party,A man,29,Ontario,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,25 to 34
Green Party,A woman,34,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Green Party,A man,45,Manitoba,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Bloc Québécois,A woman,62,Quebec,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,55 to 64
Liberal Party,A woman,59,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Conservative Party,A man,60,Alberta,Some university,University certificate or diploma below bachelor level,Male,55 to 64
Don't know/ Prefer not to answer,A man,64,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Conservative Party,A woman,56,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
ndp,A woman,33,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Bloc Québécois,A man,55,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
ndp,A woman,56,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
People's Party,A man,38,Manitoba,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Conservative Party,A woman,34,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
People's Party,A man,29,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Green Party,A man,25,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,25 to 34
Green Party,A woman,60,Ontario,Some secondary/ high school,Other,Female,55 to 64
Liberal Party,A woman,49,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Conservative Party,A woman,25,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A woman,35,Saskatchewan,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Conservative Party,A man,47,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
ndp,A woman,25,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Liberal Party,A woman,54,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
ndp,A man,29,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Liberal Party,A woman,46,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Conservative Party,A woman,48,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Conservative Party,A woman,44,Ontario,Some university,University certificate or diploma below bachelor level,Female,35 to 44
People's Party,A woman,33,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Don't know/ Prefer not to answer,A woman,55,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Conservative Party,A man,36,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,35 to 44
Don't know/ Prefer not to answer,A woman,49,Ontario,Some university,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,46,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Conservative Party,A woman,31,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,25 to 34
Liberal Party,A man,43,Quebec,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,35 to 44
Conservative Party,A woman,47,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A man,31,Alberta,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,25 to 34
Bloc Québécois,A woman,53,Quebec,Completed elementary school,NA,Female,45 to 54
Conservative Party,A man,42,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
Don't know/ Prefer not to answer,A woman,28,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A man,26,Ontario,Completed elementary school,NA,Male,25 to 34
Bloc Québécois,A woman,57,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
ndp,A woman,28,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
ndp,A woman,38,British Columbia,Master's degree,"Highest certificate, diploma or degree",Female,35 to 44
Green Party,A woman,43,British Columbia,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,35 to 44
Liberal Party,A woman,56,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Green Party,A woman,43,British Columbia,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,35 to 44
Conservative Party,A woman,59,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
ndp,A woman,38,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,35 to 44
